task_id,global_instance_id,source_manifest,split,experiments_containing_this_instance,training_eligible
crispr_delivery/14,280,manifests/phase1.jsonl,training / development (candidate),ablation (abl_arm1/2/3);phase1,yes
crispr_delivery/20,277,manifests/phase1.jsonl,training / development (candidate),ablation (abl_arm1/2/3);phase1,yes
crispr_delivery/22,274,manifests/phase1.jsonl,training / development (candidate),ablation (abl_arm1/2/3);phase1,yes
crispr_delivery/28,281,manifests/phase1.jsonl,training / development (candidate),ablation (abl_arm1/2/3);phase1,yes
crispr_delivery/49,276,manifests/phase1.jsonl,training / development (candidate),phase1,yes
gwas_causal_gene_gwas_catalog/27,412,manifests/phase1.jsonl,training / development (candidate),phase1,yes
gwas_causal_gene_gwas_catalog/159,388,manifests/phase1.jsonl,training / development (candidate),phase1,yes
gwas_causal_gene_gwas_catalog/217,402,manifests/phase1.jsonl,training / development (candidate),phase1,yes
gwas_causal_gene_gwas_catalog/406,406,manifests/phase1.jsonl,training / development (candidate),phase1,yes
gwas_causal_gene_gwas_catalog/520,426,manifests/phase1.jsonl,training / development (candidate),phase1,yes
gwas_causal_gene_opentargets/32,376,manifests/phase1.jsonl,training / development (candidate),phase1,yes
gwas_causal_gene_opentargets/217,364,manifests/phase1.jsonl,training / development (candidate),ablation (abl_arm1/2/3);phase1;smoke,yes
gwas_causal_gene_opentargets/556,338,manifests/phase1.jsonl,training / development (candidate),ablation (abl_arm1/2/3);phase1,yes
gwas_causal_gene_opentargets/683,370,manifests/phase1.jsonl,training / development (candidate),phase1,yes
gwas_causal_gene_opentargets/817,380,manifests/phase1.jsonl,training / development (candidate),ablation (abl_arm1/2/3);phase1,yes
gwas_causal_gene_pharmaprojects/877,226,manifests/phase1.jsonl,training / development (candidate),phase1,yes
gwas_causal_gene_pharmaprojects/956,222,manifests/phase1.jsonl,training / development (candidate),phase1,yes
gwas_causal_gene_pharmaprojects/1403,217,manifests/phase1.jsonl,training / development (candidate),phase1,yes
gwas_causal_gene_pharmaprojects/1475,193,manifests/phase1.jsonl,training / development (candidate),phase1,yes
gwas_causal_gene_pharmaprojects/1554,212,manifests/phase1.jsonl,training / development (candidate),phase1,yes
gwas_variant_prioritization/1,22,manifests/phase1.jsonl,training / development (candidate),ablation (abl_arm1/2/3);phase1,yes
gwas_variant_prioritization/71,37,manifests/phase1.jsonl,training / development (candidate),ablation (abl_arm1/2/3);phase1,yes
gwas_variant_prioritization/149,24,manifests/phase1.jsonl,training / development (candidate),phase1,yes
gwas_variant_prioritization/179,41,manifests/phase1.jsonl,training / development (candidate),phase1,yes
gwas_variant_prioritization/197,2,manifests/phase1.jsonl,training / development (candidate),ablation (abl_arm1/2/3);phase1,yes
lab_bench_dbqa/190,298,manifests/phase1.jsonl,training / development (candidate),ablation (abl_arm1/2/3);phase1,yes
lab_bench_dbqa/212,284,manifests/phase1.jsonl,training / development (candidate),ablation (abl_arm1/2/3);phase1,yes
lab_bench_dbqa/309,299,manifests/phase1.jsonl,training / development (candidate),ablation (abl_arm1/2/3);phase1,yes
lab_bench_dbqa/389,303,manifests/phase1.jsonl,training / development (candidate),phase1;smoke,yes
lab_bench_dbqa/511,288,manifests/phase1.jsonl,training / development (candidate),ablation (abl_arm1/2/3);phase1,yes
lab_bench_seqqa/134,116,manifests/phase1.jsonl,training / development (candidate),phase1,yes
lab_bench_seqqa/230,120,manifests/phase1.jsonl,training / development (candidate),phase1,yes
lab_bench_seqqa/292,106,manifests/phase1.jsonl,training / development (candidate),phase1,yes
lab_bench_seqqa/417,112,manifests/phase1.jsonl,training / development (candidate),phase1,yes
lab_bench_seqqa/547,100,manifests/phase1.jsonl,training / development (candidate),phase1,yes
patient_gene_detection/1,163,manifests/phase1.jsonl,training / development (candidate),ablation (abl_arm1/2/3);phase1,yes
patient_gene_detection/80,168,manifests/phase1.jsonl,training / development (candidate),ablation (abl_arm1/2/3);phase1,yes
patient_gene_detection/161,153,manifests/phase1.jsonl,training / development (candidate),ablation (abl_arm1/2/3);phase1,yes
patient_gene_detection/350,150,manifests/phase1.jsonl,training / development (candidate),phase1,yes
patient_gene_detection/488,147,manifests/phase1.jsonl,training / development (candidate),ablation (abl_arm1/2/3);phase1,yes
rare_disease_diagnosis/21,247,manifests/phase1.jsonl,training / development (candidate),ablation (abl_arm1/2/3);phase1,yes
rare_disease_diagnosis/59,252,manifests/phase1.jsonl,training / development (candidate),ablation (abl_arm1/2/3);phase1,yes
rare_disease_diagnosis/99,261,manifests/phase1.jsonl,training / development (candidate),ablation (abl_arm1/2/3);phase1,yes
rare_disease_diagnosis/103,260,manifests/phase1.jsonl,training / development (candidate),ablation (abl_arm1/2/3);phase1,yes
rare_disease_diagnosis/106,269,manifests/phase1.jsonl,training / development (candidate),phase1;phase2b_smoke,yes
screen_gene_retrieval/1,60,manifests/phase1.jsonl,training / development (candidate),phase1,yes
screen_gene_retrieval/53,59,manifests/phase1.jsonl,training / development (candidate),ablation (abl_arm1/2/3);phase1,yes
screen_gene_retrieval/54,79,manifests/phase1.jsonl,training / development (candidate),phase1,yes
screen_gene_retrieval/243,78,manifests/phase1.jsonl,training / development (candidate),phase1,yes
screen_gene_retrieval/306,76,manifests/phase1.jsonl,training / development (candidate),ablation (abl_arm1/2/3);phase1,yes
crispr_delivery/7,278,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
crispr_delivery/10,273,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
crispr_delivery/18,275,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
crispr_delivery/38,282,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
crispr_delivery/42,279,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_causal_gene_gwas_catalog/64,427,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_causal_gene_gwas_catalog/85,386,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_causal_gene_gwas_catalog/128,424,manifests/phase2b.jsonl,training / development (candidate),phase2b;scope_gate (scope_gate_b1),yes
gwas_causal_gene_gwas_catalog/134,411,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_causal_gene_gwas_catalog/138,421,manifests/phase2b.jsonl,training / development (candidate),phase2b;scope_gate (scope_gate_b1),yes
gwas_causal_gene_gwas_catalog/156,429,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_causal_gene_gwas_catalog/170,390,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_causal_gene_gwas_catalog/230,414,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_causal_gene_gwas_catalog/379,432,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_causal_gene_gwas_catalog/418,418,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_causal_gene_gwas_catalog/492,431,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_causal_gene_gwas_catalog/541,385,manifests/phase2b.jsonl,training / development (candidate),phase2b;scope_gate (scope_gate_b1),yes
gwas_causal_gene_gwas_catalog/568,404,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_causal_gene_gwas_catalog/601,393,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_causal_gene_gwas_catalog/630,383,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_causal_gene_opentargets/4,365,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_causal_gene_opentargets/47,375,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_causal_gene_opentargets/240,354,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_causal_gene_opentargets/392,361,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_causal_gene_opentargets/397,362,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_causal_gene_opentargets/460,357,manifests/phase2b.jsonl,training / development (candidate),phase2b;scope_gate (scope_gate_b1),yes
gwas_causal_gene_opentargets/540,346,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
gwas_causal_gene_opentargets/546,369,manifests/phase2b.jsonl,training / development (candidate),phase2b;scope_gate (scope_gate_b1),yes
gwas_causal_gene_opentargets/563,353,manifests/phase2b.jsonl,training / development (candidate),phase2b,yes
