task_name,task_instance_id,plurality_floor,agg_plurality_available,agg_oracle_at_3,n_usable,n_in_menu
crispr_delivery,18,0.0,0.0,0.0,3,2
crispr_delivery,28,1.0,1.0,1.0,3,3
gwas_causal_gene_gwas_catalog,27,1.0,1.0,1.0,3,3
gwas_causal_gene_gwas_catalog,64,0.0,0.0,0.0,3,3
gwas_causal_gene_gwas_catalog,128,0.0,0.0,0.0,2,2
gwas_causal_gene_gwas_catalog,138,1.0,0.0,1.0,3,3
gwas_causal_gene_gwas_catalog,170,1.0,1.0,1.0,3,3
gwas_causal_gene_gwas_catalog,379,0.0,0.0,0.0,2,1
gwas_causal_gene_gwas_catalog,406,0.0,0.0,0.0,3,3
gwas_causal_gene_gwas_catalog,418,0.0,0.0,0.0,2,2
gwas_causal_gene_gwas_catalog,492,0.0,0.0,1.0,3,2
gwas_causal_gene_gwas_catalog,520,0.0,0.0,0.0,3,2
gwas_causal_gene_opentargets,47,0.0,0.0,0.0,3,3
gwas_causal_gene_opentargets,397,1.0,1.0,1.0,3,3
gwas_causal_gene_opentargets,612,1.0,1.0,1.0,2,2
gwas_causal_gene_opentargets,690,0.0,0.0,1.0,2,2
gwas_causal_gene_pharmaprojects,509,1.0,0.0,0.0,3,3
gwas_causal_gene_pharmaprojects,956,0.0,0.0,0.0,2,2
gwas_causal_gene_pharmaprojects,1300,0.0,1.0,1.0,3,3
gwas_causal_gene_pharmaprojects,1463,0.0,0.0,0.0,2,2
gwas_causal_gene_pharmaprojects,1475,1.0,1.0,1.0,2,2
gwas_causal_gene_pharmaprojects,1554,0.0,0.0,0.0,3,2
gwas_causal_gene_pharmaprojects,1640,0.0,1.0,1.0,3,3
gwas_causal_gene_pharmaprojects,1645,0.0,0.0,0.0,2,2
gwas_variant_prioritization,1,1.0,1.0,1.0,2,2
gwas_variant_prioritization,37,1.0,0.0,0.0,0,0
gwas_variant_prioritization,87,0.0,0.0,0.0,0,0
gwas_variant_prioritization,102,0.0,0.0,0.0,1,1
gwas_variant_prioritization,121,1.0,1.0,1.0,1,1
gwas_variant_prioritization,130,0.0,0.0,0.0,0,0
lab_bench_dbqa,80,1.0,1.0,1.0,3,3
lab_bench_dbqa,190,1.0,1.0,1.0,3,3
lab_bench_dbqa,269,1.0,1.0,1.0,3,3
lab_bench_dbqa,309,0.0,0.0,0.0,3,2
lab_bench_dbqa,315,1.0,1.0,1.0,3,2
lab_bench_dbqa,345,1.0,0.0,1.0,3,3
lab_bench_dbqa,350,0.0,1.0,1.0,3,3
lab_bench_dbqa,430,0.0,0.0,0.0,1,0
lab_bench_seqqa,27,0.0,0.0,1.0,2,2
lab_bench_seqqa,230,0.0,0.0,0.0,1,1
lab_bench_seqqa,292,1.0,1.0,1.0,3,3
lab_bench_seqqa,547,1.0,1.0,1.0,3,3
patient_gene_detection,1,1.0,1.0,1.0,2,2
patient_gene_detection,34,0.0,0.0,1.0,3,2
patient_gene_detection,49,1.0,1.0,1.0,2,1
patient_gene_detection,80,1.0,1.0,1.0,1,1
patient_gene_detection,88,0.0,0.0,0.0,1,1
patient_gene_detection,161,0.0,0.0,0.0,2,2
patient_gene_detection,205,1.0,1.0,1.0,2,2
patient_gene_detection,251,1.0,0.0,0.0,2,2
patient_gene_detection,259,0.0,0.0,0.0,2,2
patient_gene_detection,264,1.0,1.0,1.0,3,2
patient_gene_detection,306,0.0,0.0,0.0,1,1
patient_gene_detection,319,1.0,0.0,0.0,1,0
patient_gene_detection,339,0.0,1.0,1.0,2,2
patient_gene_detection,350,0.0,0.0,0.0,3,3
patient_gene_detection,401,1.0,1.0,1.0,3,3
patient_gene_detection,419,0.0,1.0,1.0,2,2
patient_gene_detection,482,0.0,0.0,1.0,2,2
patient_gene_detection,488,0.0,1.0,1.0,1,0
rare_disease_diagnosis,1,1.0,1.0,1.0,3,3
rare_disease_diagnosis,20,0.0,1.0,1.0,3,3
rare_disease_diagnosis,21,1.0,1.0,1.0,3,2
rare_disease_diagnosis,59,0.0,0.0,0.0,3,1
rare_disease_diagnosis,88,0.0,0.0,0.0,3,2
rare_disease_diagnosis,90,0.0,0.0,0.0,3,1
rare_disease_diagnosis,92,0.0,0.0,0.0,2,0
rare_disease_diagnosis,102,0.0,1.0,1.0,1,0
rare_disease_diagnosis,103,1.0,1.0,1.0,2,2
rare_disease_diagnosis,106,1.0,1.0,1.0,3,2
rare_disease_diagnosis,140,0.0,0.0,0.0,3,2
screen_gene_retrieval,1,0.0,0.0,0.0,0,0
screen_gene_retrieval,166,0.0,0.0,0.0,1,1
screen_gene_retrieval,243,1.0,0.0,0.0,1,1
screen_gene_retrieval,306,0.0,0.0,0.0,1,1
screen_gene_retrieval,317,1.0,0.0,0.0,1,1
screen_gene_retrieval,318,0.0,0.0,0.0,1,1
screen_gene_retrieval,346,0.0,1.0,1.0,2,2
