pool,task_name,task_instance_id,own_answer_share,n_competing_candidates_discussed,hedging_near_answer,closing_concentration,label,ikey
phase2b,crispr_delivery,18,0.6842105263157895,1.0,0.0,0.3076923076923077,0,"('phase2b', 'crispr_delivery', 18)"
phase2b,crispr_delivery,18,0.8292682926829268,1.0,0.0,0.17647058823529413,0,"('phase2b', 'crispr_delivery', 18)"
phase2b,crispr_delivery,18,0.26666666666666666,1.0,0.0,0.25,0,"('phase2b', 'crispr_delivery', 18)"
phase2b,gwas_causal_gene_gwas_catalog,64,0.8,1.0,1.0,0.75,0,"('phase2b', 'gwas_causal_gene_gwas_catalog', 64)"
phase2b,gwas_causal_gene_gwas_catalog,64,0.9787234042553191,1.0,4.0,0.21739130434782608,0,"('phase2b', 'gwas_causal_gene_gwas_catalog', 64)"
phase2b,gwas_causal_gene_gwas_catalog,64,0.9849624060150376,1.0,38.0,0.2480916030534351,0,"('phase2b', 'gwas_causal_gene_gwas_catalog', 64)"
phase2b,gwas_causal_gene_gwas_catalog,128,0.6944444444444444,2.0,4.0,0.32,0,"('phase2b', 'gwas_causal_gene_gwas_catalog', 128)"
phase2b,gwas_causal_gene_gwas_catalog,128,0.7575757575757576,2.0,3.0,0.37333333333333335,0,"('phase2b', 'gwas_causal_gene_gwas_catalog', 128)"
phase2b,gwas_causal_gene_gwas_catalog,128,0.5572519083969466,2.0,11.0,0.3972602739726027,0,"('phase2b', 'gwas_causal_gene_gwas_catalog', 128)"
phase2b,gwas_causal_gene_gwas_catalog,138,0.589041095890411,1.0,8.0,0.4186046511627907,1,"('phase2b', 'gwas_causal_gene_gwas_catalog', 138)"
phase2b,gwas_causal_gene_gwas_catalog,138,0.9545454545454546,1.0,4.0,0.19047619047619047,1,"('phase2b', 'gwas_causal_gene_gwas_catalog', 138)"
phase2b,gwas_causal_gene_gwas_catalog,138,0.671875,1.0,5.0,0.27906976744186046,0,"('phase2b', 'gwas_causal_gene_gwas_catalog', 138)"
phase2b,gwas_causal_gene_gwas_catalog,170,0.5573770491803278,1.0,4.0,0.23529411764705882,0,"('phase2b', 'gwas_causal_gene_gwas_catalog', 170)"
phase2b,gwas_causal_gene_gwas_catalog,170,0.7959183673469388,1.0,4.0,0.41025641025641024,1,"('phase2b', 'gwas_causal_gene_gwas_catalog', 170)"
phase2b,gwas_causal_gene_gwas_catalog,170,0.6363636363636364,1.0,5.0,0.20634920634920634,1,"('phase2b', 'gwas_causal_gene_gwas_catalog', 170)"
phase2b,gwas_causal_gene_gwas_catalog,170,0.5675675675675675,1.0,3.0,0.2619047619047619,1,"('phase2b', 'gwas_causal_gene_gwas_catalog', 170)"
phase2b,gwas_causal_gene_gwas_catalog,379,0.5657894736842105,2.0,10.0,0.27906976744186046,0,"('phase2b', 'gwas_causal_gene_gwas_catalog', 379)"
phase2b,gwas_causal_gene_gwas_catalog,379,0.6228070175438597,2.0,6.0,0.30985915492957744,0,"('phase2b', 'gwas_causal_gene_gwas_catalog', 379)"
phase2b,gwas_causal_gene_gwas_catalog,379,0.49166666666666664,2.0,13.0,0.4067796610169492,0,"('phase2b', 'gwas_causal_gene_gwas_catalog', 379)"
phase2b,gwas_causal_gene_gwas_catalog,379,0.6585365853658537,2.0,8.0,0.35185185185185186,0,"('phase2b', 'gwas_causal_gene_gwas_catalog', 379)"
phase2b,gwas_causal_gene_gwas_catalog,418,0.515625,1.0,5.0,0.16666666666666666,0,"('phase2b', 'gwas_causal_gene_gwas_catalog', 418)"
phase2b,gwas_causal_gene_gwas_catalog,418,0.5490196078431373,1.0,10.0,0.25,0,"('phase2b', 'gwas_causal_gene_gwas_catalog', 418)"
phase2b,gwas_causal_gene_gwas_catalog,418,0.6721311475409836,1.0,5.0,0.2682926829268293,0,"('phase2b', 'gwas_causal_gene_gwas_catalog', 418)"
phase2b,gwas_causal_gene_gwas_catalog,418,0.6951219512195121,1.0,6.0,0.3508771929824561,0,"('phase2b', 'gwas_causal_gene_gwas_catalog', 418)"
phase2b,gwas_causal_gene_gwas_catalog,492,0.8979591836734694,1.0,3.0,0.29545454545454547,0,"('phase2b', 'gwas_causal_gene_gwas_catalog', 492)"
phase2b,gwas_causal_gene_gwas_catalog,492,0.35294117647058826,1.0,5.0,0.6666666666666666,0,"('phase2b', 'gwas_causal_gene_gwas_catalog', 492)"
phase2b,gwas_causal_gene_opentargets,47,0.8333333333333334,1.0,4.0,0.4,0,"('phase2b', 'gwas_causal_gene_opentargets', 47)"
phase2b,gwas_causal_gene_opentargets,47,0.9298245614035088,1.0,6.0,0.24528301886792453,0,"('phase2b', 'gwas_causal_gene_opentargets', 47)"
phase2b,gwas_causal_gene_opentargets,47,0.5631067961165048,1.0,4.0,0.39655172413793105,0,"('phase2b', 'gwas_causal_gene_opentargets', 47)"
phase2b,gwas_causal_gene_opentargets,397,0.8333333333333334,1.0,5.0,0.28,1,"('phase2b', 'gwas_causal_gene_opentargets', 397)"
phase2b,gwas_causal_gene_opentargets,397,0.6785714285714286,1.0,5.0,0.42105263157894735,0,"('phase2b', 'gwas_causal_gene_opentargets', 397)"
phase2b,gwas_causal_gene_opentargets,397,0.8813559322033898,1.0,8.0,0.3076923076923077,1,"('phase2b', 'gwas_causal_gene_opentargets', 397)"
phase2b,gwas_causal_gene_opentargets,397,0.8604651162790697,1.0,5.0,0.2702702702702703,1,"('phase2b', 'gwas_causal_gene_opentargets', 397)"
phase2b,gwas_causal_gene_opentargets,612,0.6349206349206349,1.0,3.0,0.4,1,"('phase2b', 'gwas_causal_gene_opentargets', 612)"
phase2b,gwas_causal_gene_opentargets,612,0.6274509803921569,1.0,2.0,0.34375,1,"('phase2b', 'gwas_causal_gene_opentargets', 612)"
phase2b,gwas_causal_gene_opentargets,612,0.6363636363636364,1.0,6.0,0.42857142857142855,0,"('phase2b', 'gwas_causal_gene_opentargets', 612)"
phase2b,gwas_causal_gene_opentargets,690,0.7159090909090909,1.0,4.0,0.2698412698412698,0,"('phase2b', 'gwas_causal_gene_opentargets', 690)"
phase2b,gwas_causal_gene_opentargets,690,0.9743589743589743,1.0,3.0,0.34210526315789475,0,"('phase2b', 'gwas_causal_gene_opentargets', 690)"
phase2b,gwas_causal_gene_opentargets,690,0.7674418604651163,1.0,2.0,0.42424242424242425,0,"('phase2b', 'gwas_causal_gene_opentargets', 690)"
phase2b,gwas_causal_gene_opentargets,690,0.6923076923076923,1.0,6.0,0.37037037037037035,1,"('phase2b', 'gwas_causal_gene_opentargets', 690)"
phase2b,gwas_causal_gene_pharmaprojects,509,0.9157894736842105,1.0,10.0,0.3448275862068966,1,"('phase2b', 'gwas_causal_gene_pharmaprojects', 509)"
phase2b,gwas_causal_gene_pharmaprojects,509,0.7662337662337663,1.0,4.0,0.288135593220339,0,"('phase2b', 'gwas_causal_gene_pharmaprojects', 509)"
phase2b,gwas_causal_gene_pharmaprojects,509,0.8068181818181818,1.0,2.0,0.28169014084507044,1,"('phase2b', 'gwas_causal_gene_pharmaprojects', 509)"
phase2b,gwas_causal_gene_pharmaprojects,509,0.7837837837837838,1.0,5.0,0.5172413793103449,1,"('phase2b', 'gwas_causal_gene_pharmaprojects', 509)"
phase2b,gwas_causal_gene_pharmaprojects,1300,0.6179775280898876,1.0,5.0,0.2909090909090909,0,"('phase2b', 'gwas_causal_gene_pharmaprojects', 1300)"
phase2b,gwas_causal_gene_pharmaprojects,1300,0.5636363636363636,1.0,3.0,0.2903225806451613,1,"('phase2b', 'gwas_causal_gene_pharmaprojects', 1300)"
phase2b,gwas_causal_gene_pharmaprojects,1300,0.6231884057971014,1.0,6.0,0.23255813953488372,0,"('phase2b', 'gwas_causal_gene_pharmaprojects', 1300)"
phase2b,gwas_causal_gene_pharmaprojects,1463,0.9672131147540983,1.0,5.0,0.3389830508474576,0,"('phase2b', 'gwas_causal_gene_pharmaprojects', 1463)"
phase2b,gwas_causal_gene_pharmaprojects,1463,0.9285714285714286,1.0,3.0,0.41025641025641024,0,"('phase2b', 'gwas_causal_gene_pharmaprojects', 1463)"
