pool,task_name,task_instance_id,k,n_usable,distinct_usable,evidence_state,no_correct_trajectory,any_correct_usable,oracle_reward,plurality_reward,headroom,mode_a_eligible,unreachable
phase2b,crispr_delivery,18,4,3,2,B_substantive_disagreement,True,False,0.0,0.0,0.0,False,True
phase2b,gwas_causal_gene_gwas_catalog,64,4,3,2,B_substantive_disagreement,True,False,0.0,0.0,0.0,False,True
phase2b,gwas_causal_gene_gwas_catalog,128,4,3,3,B_substantive_disagreement,True,False,0.0,0.0,0.0,False,True
phase2b,gwas_causal_gene_gwas_catalog,138,4,3,2,B_substantive_disagreement,False,True,1.0,1.0,0.0,False,False
phase2b,gwas_causal_gene_gwas_catalog,170,4,4,2,B_substantive_disagreement,False,True,1.0,1.0,0.0,False,False
phase2b,gwas_causal_gene_gwas_catalog,379,4,4,3,B_substantive_disagreement,True,False,0.0,0.0,0.0,False,True
phase2b,gwas_causal_gene_gwas_catalog,418,4,4,2,B_substantive_disagreement,True,False,0.0,0.0,0.0,False,True
phase2b,gwas_causal_gene_gwas_catalog,492,4,2,2,B_substantive_disagreement,True,False,0.0,0.0,0.0,False,True
phase2b,gwas_causal_gene_opentargets,47,4,3,2,B_substantive_disagreement,True,False,0.0,0.0,0.0,False,True
phase2b,gwas_causal_gene_opentargets,397,4,4,2,B_substantive_disagreement,False,True,1.0,1.0,0.0,False,False
phase2b,gwas_causal_gene_opentargets,612,4,3,2,B_substantive_disagreement,False,True,1.0,1.0,0.0,False,False
phase2b,gwas_causal_gene_opentargets,690,4,4,2,B_substantive_disagreement,False,True,1.0,0.0,1.0,False,False
phase2b,gwas_causal_gene_pharmaprojects,509,4,4,2,B_substantive_disagreement,False,True,1.0,1.0,0.0,False,False
phase2b,gwas_causal_gene_pharmaprojects,1300,4,3,2,B_substantive_disagreement,False,True,1.0,0.0,1.0,False,False
phase2b,gwas_causal_gene_pharmaprojects,1463,4,4,2,B_substantive_disagreement,True,False,0.0,0.0,0.0,False,True
phase2b,gwas_causal_gene_pharmaprojects,1640,4,4,2,B_substantive_disagreement,False,True,1.0,0.0,1.0,False,False
phase2b,gwas_causal_gene_pharmaprojects,1645,4,3,3,B_substantive_disagreement,True,False,0.0,0.0,0.0,False,True
phase2b,gwas_variant_prioritization,37,4,3,2,B_substantive_disagreement,False,True,1.0,1.0,0.0,False,False
phase2b,gwas_variant_prioritization,87,4,3,2,B_substantive_disagreement,True,False,0.0,0.0,0.0,False,True
phase2b,gwas_variant_prioritization,102,4,3,2,B_substantive_disagreement,True,False,0.0,0.0,0.0,False,True
phase2b,gwas_variant_prioritization,121,4,4,2,B_substantive_disagreement,False,True,1.0,1.0,0.0,False,False
phase2b,gwas_variant_prioritization,130,4,2,2,B_substantive_disagreement,True,False,0.0,0.0,0.0,False,True
phase2b,lab_bench_dbqa,80,4,4,2,B_substantive_disagreement,False,True,1.0,1.0,0.0,False,False
phase2b,lab_bench_dbqa,269,4,4,2,B_substantive_disagreement,False,True,1.0,1.0,0.0,False,False
phase2b,lab_bench_dbqa,315,4,4,2,B_substantive_disagreement,False,True,1.0,1.0,0.0,False,False
phase2b,lab_bench_dbqa,345,4,4,2,B_substantive_disagreement,False,True,1.0,1.0,0.0,False,False
phase2b,lab_bench_dbqa,350,4,4,2,B_substantive_disagreement,False,True,1.0,0.0,1.0,False,False
phase2b,lab_bench_dbqa,430,4,3,2,B_substantive_disagreement,False,True,1.0,0.0,1.0,False,False
phase2b,lab_bench_seqqa,27,4,4,3,B_substantive_disagreement,False,True,1.0,0.0,1.0,True,False
phase2b,patient_gene_detection,34,4,4,3,B_substantive_disagreement,False,True,1.0,0.0,1.0,False,False
phase2b,patient_gene_detection,49,4,4,2,B_substantive_disagreement,False,True,1.0,1.0,0.0,False,False
phase2b,patient_gene_detection,88,4,4,3,B_substantive_disagreement,True,False,0.0,0.0,0.0,False,True
phase2b,patient_gene_detection,205,4,4,2,B_substantive_disagreement,False,True,1.0,1.0,0.0,False,False
phase2b,patient_gene_detection,251,4,4,3,B_substantive_disagreement,False,True,1.0,1.0,0.0,False,False
phase2b,patient_gene_detection,259,4,4,4,B_substantive_disagreement,True,False,0.0,0.0,0.0,False,True
phase2b,patient_gene_detection,264,4,3,2,B_substantive_disagreement,False,True,1.0,1.0,0.0,False,False
phase2b,patient_gene_detection,306,4,2,2,B_substantive_disagreement,True,False,0.0,0.0,0.0,False,True
phase2b,patient_gene_detection,319,4,4,3,B_substantive_disagreement,False,True,1.0,1.0,0.0,False,False
phase2b,patient_gene_detection,339,4,3,3,B_substantive_disagreement,False,True,1.0,0.0,1.0,False,False
phase2b,patient_gene_detection,401,4,4,4,B_substantive_disagreement,False,True,1.0,1.0,0.0,False,False
phase2b,patient_gene_detection,419,4,2,2,B_substantive_disagreement,False,True,1.0,0.0,1.0,False,False
phase2b,patient_gene_detection,482,4,3,2,B_substantive_disagreement,False,True,1.0,0.0,1.0,False,False
phase2b,rare_disease_diagnosis,1,4,4,2,B_substantive_disagreement,False,True,1.0,1.0,0.0,False,False
phase2b,rare_disease_diagnosis,20,4,3,2,B_substantive_disagreement,False,True,1.0,0.0,1.0,False,False
phase2b,rare_disease_diagnosis,88,4,2,2,B_substantive_disagreement,True,False,0.0,0.0,0.0,False,True
phase2b,rare_disease_diagnosis,90,4,2,2,B_substantive_disagreement,True,False,0.0,0.0,0.0,False,True
