pool,task_name,task_instance_id,n_usable,oracle_at_3,oracle_at_4,oracle_all
phase1_pooled,crispr_delivery,28,4,1.0,1.0,1.0
phase1_pooled,gwas_causal_gene_gwas_catalog,27,4,1.0,1.0,1.0
phase1_pooled,gwas_causal_gene_gwas_catalog,406,4,0.0,0.0,0.0
phase1_pooled,gwas_causal_gene_gwas_catalog,520,4,0.0,0.0,0.0
phase1_pooled,gwas_causal_gene_pharmaprojects,956,4,0.0,0.0,0.0
phase1_pooled,gwas_causal_gene_pharmaprojects,1475,4,1.0,1.0,1.0
phase1_pooled,gwas_causal_gene_pharmaprojects,1554,3,0.0,,0.0
phase1_pooled,gwas_variant_prioritization,1,4,1.0,1.0,1.0
phase1_pooled,lab_bench_dbqa,190,4,1.0,1.0,1.0
phase1_pooled,lab_bench_dbqa,309,4,0.0,0.0,0.0
phase1_pooled,lab_bench_seqqa,230,3,0.0,,0.0
phase1_pooled,lab_bench_seqqa,292,3,1.0,,1.0
phase1_pooled,lab_bench_seqqa,547,4,1.0,1.0,1.0
phase1_pooled,patient_gene_detection,1,4,1.0,1.0,1.0
phase1_pooled,patient_gene_detection,80,4,1.0,1.0,1.0
phase1_pooled,patient_gene_detection,161,2,,,0.0
phase1_pooled,patient_gene_detection,350,4,0.0,0.0,0.0
phase1_pooled,patient_gene_detection,488,4,1.0,1.0,1.0
phase1_pooled,rare_disease_diagnosis,21,3,1.0,,1.0
phase1_pooled,rare_disease_diagnosis,59,3,0.0,,0.0
phase1_pooled,rare_disease_diagnosis,103,2,,,1.0
phase1_pooled,rare_disease_diagnosis,106,3,1.0,,1.0
phase1_pooled,screen_gene_retrieval,1,2,,,0.0
phase1_pooled,screen_gene_retrieval,243,3,1.0,,1.0
phase1_pooled,screen_gene_retrieval,306,4,0.0,0.0,0.0
phase2b,crispr_delivery,18,3,0.0,,0.0
phase2b,gwas_causal_gene_gwas_catalog,64,3,0.0,,0.0
phase2b,gwas_causal_gene_gwas_catalog,128,3,0.0,,0.0
phase2b,gwas_causal_gene_gwas_catalog,138,3,1.0,,1.0
phase2b,gwas_causal_gene_gwas_catalog,170,4,1.0,1.0,1.0
phase2b,gwas_causal_gene_gwas_catalog,379,4,0.0,0.0,0.0
phase2b,gwas_causal_gene_gwas_catalog,418,4,0.0,0.0,0.0
phase2b,gwas_causal_gene_gwas_catalog,492,2,,,0.0
phase2b,gwas_causal_gene_opentargets,47,3,0.0,,0.0
phase2b,gwas_causal_gene_opentargets,397,4,1.0,1.0,1.0
phase2b,gwas_causal_gene_opentargets,612,3,1.0,,1.0
phase2b,gwas_causal_gene_opentargets,690,4,0.75,1.0,1.0
phase2b,gwas_causal_gene_pharmaprojects,509,4,1.0,1.0,1.0
phase2b,gwas_causal_gene_pharmaprojects,1300,3,1.0,,1.0
phase2b,gwas_causal_gene_pharmaprojects,1463,4,0.0,0.0,0.0
phase2b,gwas_causal_gene_pharmaprojects,1640,4,0.75,1.0,1.0
phase2b,gwas_causal_gene_pharmaprojects,1645,3,0.0,,0.0
phase2b,gwas_variant_prioritization,37,3,1.0,,1.0
phase2b,gwas_variant_prioritization,87,3,0.0,,0.0
phase2b,gwas_variant_prioritization,102,3,0.0,,0.0
phase2b,gwas_variant_prioritization,121,4,1.0,1.0,1.0
phase2b,gwas_variant_prioritization,130,2,,,0.0
phase2b,lab_bench_dbqa,80,4,1.0,1.0,1.0
phase2b,lab_bench_dbqa,269,4,1.0,1.0,1.0
phase2b,lab_bench_dbqa,315,4,1.0,1.0,1.0
phase2b,lab_bench_dbqa,345,4,1.0,1.0,1.0
phase2b,lab_bench_dbqa,350,4,1.0,1.0,1.0
phase2b,lab_bench_dbqa,430,3,1.0,,1.0
phase2b,lab_bench_seqqa,27,4,0.75,1.0,1.0
phase2b,patient_gene_detection,34,4,1.0,1.0,1.0
phase2b,patient_gene_detection,49,4,1.0,1.0,1.0
phase2b,patient_gene_detection,88,4,0.0,0.0,0.0
phase2b,patient_gene_detection,205,4,1.0,1.0,1.0
phase2b,patient_gene_detection,251,4,1.0,1.0,1.0
phase2b,patient_gene_detection,259,4,0.0,0.0,0.0
phase2b,patient_gene_detection,264,3,1.0,,1.0
phase2b,patient_gene_detection,306,2,,,0.0
phase2b,patient_gene_detection,319,4,1.0,1.0,1.0
phase2b,patient_gene_detection,339,3,1.0,,1.0
phase2b,patient_gene_detection,401,4,1.0,1.0,1.0
phase2b,patient_gene_detection,419,2,,,1.0
phase2b,patient_gene_detection,482,3,1.0,,1.0
phase2b,rare_disease_diagnosis,1,4,1.0,1.0,1.0
phase2b,rare_disease_diagnosis,20,3,1.0,,1.0
phase2b,rare_disease_diagnosis,88,2,,,0.0
phase2b,rare_disease_diagnosis,90,2,,,0.0
phase2b,rare_disease_diagnosis,92,2,,,0.0
phase2b,rare_disease_diagnosis,102,3,1.0,,1.0
phase2b,rare_disease_diagnosis,140,3,0.0,,0.0
phase2b,screen_gene_retrieval,166,2,,,1.0
phase2b,screen_gene_retrieval,317,4,1.0,1.0,1.0
phase2b,screen_gene_retrieval,318,3,0.0,,0.0
phase2b,screen_gene_retrieval,346,3,1.0,,1.0
