experiment_id,run_id,condition,task_name,global_instance_id,task_instance_id,trajectory_index,split,run_dir,run_present,marker,completed,failure_class,requested_seed,seed_supported,model,model_revision,endpoint,temperature,max_tokens,confidence_mode,timeout_seconds,prompt_hash,final_response_raw_chars,solution_block_status,final_answer_parsed,answer_canonical,answer_parse_status,answer_cluster_key,final_confidence,final_confidence_0_100,confidence_parse_status,wall_time_seconds,started_at,ended_at,error,llm_call_count,total_input_tokens,total_output_tokens,total_tokens,token_usage_available,model_time_seconds,tool_time_seconds,code_execution_count,tool_call_count,unique_tool_count,failed_tool_call_count,failed_tool_call_fraction,repeated_tool_call_count,repeated_tool_call_fraction,retry_count,parse_error_count,exception_count,retrieval_count,generated_chars,message_count,ai_message_count,observation_count,execute_block_count,solution_block_count,parse_error_message_count,visible_plan_step_count,plan_revision_count,finish_reasons,n_events,reward,strict_reward,evaluation_status,evaluation_error,correct,peak_input_tokens,runaway_generations,hard_budget_hits
track_c_adjudication_pilot,crispr_delivery-i0018-adju-t0-11675656,adjudication,crispr_delivery,275,18,0,val,/scratch/11034/atzanakak/biomni_unc_runs/track_c_adjudication_pilot/runs/crispr_delivery/i0018/adjudication/t0,True,COMPLETE,True,confidence_parse_failure,9000,False,biomni/Biomni-R0-32B-Preview,71432eb3d5e583bee757e0f9437a17e711e8e3d1,http://c561-007.stampede3.tacc.utexas.edu:30000/v1,0.7,2048,final_only,3600,bad693045fb025b4,4827,ok,c,c,ok,c,,,missing,232.144,1786390711.0490634,1786390943.2017145,,12,96984.0,7940.0,104924.0,True,196.218,18.641,10,3,1,1,0.1,1,0.3333333333333333,0,0,0,1,35863,22,21,10,10,1,0,11,,"[""length"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop""]",57,0.0,0.0,ok,,0,13719,1,0
track_c_adjudication_pilot,crispr_delivery-i0018-adju-t1-1706ced9,adjudication,crispr_delivery,275,18,1,val,/scratch/11034/atzanakak/biomni_unc_runs/track_c_adjudication_pilot/runs/crispr_delivery/i0018/adjudication/t1,True,COMPLETE,True,confidence_parse_failure,9001,False,biomni/Biomni-R0-32B-Preview,71432eb3d5e583bee757e0f9437a17e711e8e3d1,http://c561-007.stampede3.tacc.utexas.edu:30000/v1,0.7,2048,final_only,3600,bad693045fb025b4,4956,ok,f,f,ok,f,,,missing,212.449,1786390711.2079048,1786390923.6687045,,12,150320.0,6961.0,157281.0,True,174.599,20.712,10,1,1,1,0.1,0,0.0,0,0,0,1,31066,22,21,10,10,1,0,11,,"[""length"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop""]",53,0.0,0.0,ok,,0,17805,1,0
track_c_adjudication_pilot,crispr_delivery-i0018-adju-t2-c527ad0a,adjudication,crispr_delivery,275,18,2,val,/scratch/11034/atzanakak/biomni_unc_runs/track_c_adjudication_pilot/runs/crispr_delivery/i0018/adjudication/t2,True,COMPLETE,True,confidence_parse_failure,9002,False,biomni/Biomni-R0-32B-Preview,71432eb3d5e583bee757e0f9437a17e711e8e3d1,http://c561-007.stampede3.tacc.utexas.edu:30000/v1,0.7,2048,final_only,3600,bad693045fb025b4,3101,ok,e,e,ok,e,,,missing,186.527,1786390711.2287138,1786390897.7645934,,13,104095.0,5937.0,110032.0,True,146.438,22.952,11,2,1,4,0.36363636363636365,1,0.5,0,0,0,1,27112,24,23,11,11,1,0,12,,"[""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop""]",59,0.0,0.0,ok,,0,17300,0,0
track_c_adjudication_pilot,crispr_delivery-i0028-adju-t0-7caf7095,adjudication,crispr_delivery,281,28,0,val,/scratch/11034/atzanakak/biomni_unc_runs/track_c_adjudication_pilot/runs/crispr_delivery/i0028/adjudication/t0,True,COMPLETE,True,confidence_parse_failure,9000,False,biomni/Biomni-R0-32B-Preview,71432eb3d5e583bee757e0f9437a17e711e8e3d1,http://c561-007.stampede3.tacc.utexas.edu:30000/v1,0.7,2048,final_only,3600,e240f6792cc8140b,3538,ok,e,e,ok,e,,,missing,179.666,1786400618.5017815,1786400798.1838155,,14,194451.0,5896.0,200347.0,True,155.888,17.015,12,2,2,2,0.16666666666666666,0,0.0,0,0,0,1,26242,26,25,12,12,1,0,13,,"[""length"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop""]",63,1.0,1.0,ok,,1,19420,1,0
track_c_adjudication_pilot,crispr_delivery-i0028-adju-t1-c23b0797,adjudication,crispr_delivery,281,28,1,val,/scratch/11034/atzanakak/biomni_unc_runs/track_c_adjudication_pilot/runs/crispr_delivery/i0028/adjudication/t1,True,COMPLETE,True,confidence_parse_failure,9001,False,biomni/Biomni-R0-32B-Preview,71432eb3d5e583bee757e0f9437a17e711e8e3d1,http://c561-007.stampede3.tacc.utexas.edu:30000/v1,0.7,2048,final_only,3600,e240f6792cc8140b,3440,ok,f,f,ok,f,,,missing,187.065,1786400632.9188266,1786400819.9940393,,14,207125.0,6429.0,213554.0,True,165.781,13.888,12,10,3,1,0.08333333333333333,0,0.0,0,0,0,1,29539,26,25,12,12,1,0,13,,"[""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop""]",79,0.0,0.0,ok,,0,22275,0,0
track_c_adjudication_pilot,crispr_delivery-i0028-adju-t2-d1fef558,adjudication,crispr_delivery,281,28,2,val,/scratch/11034/atzanakak/biomni_unc_runs/track_c_adjudication_pilot/runs/crispr_delivery/i0028/adjudication/t2,True,COMPLETE,True,confidence_parse_failure,9002,False,biomni/Biomni-R0-32B-Preview,71432eb3d5e583bee757e0f9437a17e711e8e3d1,http://c561-007.stampede3.tacc.utexas.edu:30000/v1,0.7,2048,final_only,3600,e240f6792cc8140b,5150,ok,e,e,ok,e,,,missing,167.084,1786400670.651769,1786400837.7509913,,7,93815.0,5237.0,99052.0,True,136.17,15.977,5,5,2,1,0.2,0,0.0,0,0,0,1,21731,12,11,5,5,1,0,6,,"[""length"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop""]",42,1.0,1.0,ok,,1,16896,1,0
track_c_adjudication_pilot,gwas_causal_gene_gwas_catalog-i0027-adju-t0-37e1b5ba,adjudication,gwas_causal_gene_gwas_catalog,412,27,0,val,/scratch/11034/atzanakak/biomni_unc_runs/track_c_adjudication_pilot/runs/gwas_causal_gene_gwas_catalog/i0027/adjudication/t0,True,COMPLETE,True,confidence_parse_failure,9000,False,biomni/Biomni-R0-32B-Preview,71432eb3d5e583bee757e0f9437a17e711e8e3d1,http://c561-007.stampede3.tacc.utexas.edu:30000/v1,0.7,2048,final_only,3600,f1d7e70332369e90,6322,ok,SLC39A8,SLC39A8,ok,SLC39A8,,,missing,172.878,1786400798.1426287,1786400971.030523,,9,102441.0,5798.0,108239.0,True,145.984,5.105,7,1,1,0,0.0,0,0.0,0,0,0,1,24754,16,15,7,7,1,0,8,,"[""length"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop""]",41,1.0,1.0,ok,,1,13769,1,0
track_c_adjudication_pilot,gwas_causal_gene_gwas_catalog-i0027-adju-t1-f6478159,adjudication,gwas_causal_gene_gwas_catalog,412,27,1,val,/scratch/11034/atzanakak/biomni_unc_runs/track_c_adjudication_pilot/runs/gwas_causal_gene_gwas_catalog/i0027/adjudication/t1,True,COMPLETE,True,confidence_parse_failure,9001,False,biomni/Biomni-R0-32B-Preview,71432eb3d5e583bee757e0f9437a17e711e8e3d1,http://c561-007.stampede3.tacc.utexas.edu:30000/v1,0.7,2048,final_only,3600,f1d7e70332369e90,6435,ok,PPP3CA,PPP3CA,ok,PPP3CA,,,missing,237.164,1786400802.1531737,1786401039.3285344,,10,174131.0,6847.0,180978.0,True,173.383,46.006,8,2,2,0,0.0,0,0.0,0,0,0,1,28231,18,17,8,8,1,0,9,,"[""length"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop""]",49,0.0,0.0,ok,,0,25383,1,0
track_c_adjudication_pilot,gwas_causal_gene_gwas_catalog-i0027-adju-t2-f20f27cb,adjudication,gwas_causal_gene_gwas_catalog,412,27,2,val,/scratch/11034/atzanakak/biomni_unc_runs/track_c_adjudication_pilot/runs/gwas_causal_gene_gwas_catalog/i0027/adjudication/t2,True,COMPLETE,True,confidence_parse_failure,9002,False,biomni/Biomni-R0-32B-Preview,71432eb3d5e583bee757e0f9437a17e711e8e3d1,http://c561-007.stampede3.tacc.utexas.edu:30000/v1,0.7,2048,final_only,3600,f1d7e70332369e90,5745,ok,SLC39A8,SLC39A8,ok,SLC39A8,,,missing,264.912,1786400823.9319272,1786401088.8553424,,24,139488.0,10142.0,149630.0,True,248.969,6.072,22,0,0,8,0.36363636363636365,0,,0,0,0,1,41616,46,45,22,22,1,0,23,,"[""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop""]",98,1.0,1.0,ok,,1,14677,0,0
track_c_adjudication_pilot,gwas_causal_gene_gwas_catalog-i0064-adju-t0-90e952f0,adjudication,gwas_causal_gene_gwas_catalog,427,64,0,val,/scratch/11034/atzanakak/biomni_unc_runs/track_c_adjudication_pilot/runs/gwas_causal_gene_gwas_catalog/i0064/adjudication/t0,True,COMPLETE,True,confidence_parse_failure,9000,False,biomni/Biomni-R0-32B-Preview,71432eb3d5e583bee757e0f9437a17e711e8e3d1,http://c561-007.stampede3.tacc.utexas.edu:30000/v1,0.7,2048,final_only,3600,8d748dcff57f1f99,4820,ok,ANGPTL4,ANGPTL4,ok,ANGPTL4,,,missing,148.065,1786390711.2197232,1786390859.2951038,,13,45012.0,5387.0,50399.0,True,130.535,0.441,11,0,0,9,0.8181818181818182,0,,0,0,0,1,22327,24,23,11,11,1,0,12,,"[""length"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop"", ""stop""]",55,0.0,0.0,ok,,0,13104,1,0
