task_name,task_instance_id,n_candidates,trivial,unresolved_tie,selected_answer,verifier_selected_reward,plurality_reward,oracle_reward
gwas_causal_gene_gwas_catalog,14,1,True,False,LPL,1.0,1.0,1.0
gwas_causal_gene_gwas_catalog,32,3,False,False,ZPR1,0.0,0.0,0.0
gwas_causal_gene_gwas_catalog,47,1,True,False,CETP,1.0,1.0,1.0
gwas_causal_gene_gwas_catalog,95,1,True,False,LPL,1.0,1.0,1.0
gwas_causal_gene_gwas_catalog,200,1,True,False,SLC39A8,1.0,1.0,1.0
gwas_causal_gene_gwas_catalog,240,1,True,False,NLRP3,0.0,0.0,0.0
gwas_causal_gene_gwas_catalog,242,2,False,False,CXCL8,0.0,1.0,1.0
gwas_causal_gene_gwas_catalog,391,2,False,False,BDNF,1.0,1.0,1.0
gwas_causal_gene_gwas_catalog,392,1,True,False,CETP,1.0,1.0,1.0
gwas_causal_gene_gwas_catalog,460,1,True,False,CETP,1.0,1.0,1.0
gwas_causal_gene_gwas_catalog,489,2,False,False,CATSPER1,0.0,0.0,0.0
gwas_causal_gene_gwas_catalog,535,3,False,False,ACAN,1.0,0.0,1.0
gwas_causal_gene_gwas_catalog,543,1,True,False,LPL,1.0,1.0,1.0
gwas_causal_gene_gwas_catalog,559,2,False,False,GCKR,0.0,0.0,0.0
gwas_causal_gene_gwas_catalog,591,3,False,False,ZPR1,0.0,0.0,0.0
gwas_causal_gene_opentargets,35,1,True,False,ESR1,1.0,1.0,1.0
gwas_causal_gene_opentargets,85,1,True,False,HNF1A,1.0,1.0,1.0
gwas_causal_gene_opentargets,98,2,False,False,GLIS3,1.0,1.0,1.0
gwas_causal_gene_opentargets,159,2,False,False,SLC4A10,0.0,0.0,1.0
gwas_causal_gene_opentargets,242,2,False,False,OR2A25,0.0,0.0,0.0
gwas_causal_gene_opentargets,524,1,True,False,PRODH,1.0,1.0,1.0
gwas_causal_gene_opentargets,619,1,True,False,PPARG,1.0,1.0,1.0
gwas_causal_gene_opentargets,642,1,True,False,MC1R,1.0,1.0,1.0
gwas_causal_gene_opentargets,654,1,True,False,PCSK9,1.0,1.0,1.0
gwas_causal_gene_opentargets,720,2,False,False,IL13,0.0,0.0,1.0
gwas_causal_gene_opentargets,755,2,False,False,WDR43,0.0,0.0,1.0
gwas_causal_gene_opentargets,760,2,False,False,TTC28,0.0,1.0,1.0
gwas_causal_gene_opentargets,761,3,False,False,TNXB,0.0,0.0,1.0
gwas_causal_gene_opentargets,767,1,True,False,HNF1A,1.0,1.0,1.0
gwas_causal_gene_opentargets,801,1,True,False,ESR1,1.0,1.0,1.0
gwas_causal_gene_pharmaprojects,37,2,False,False,C5,1.0,1.0,1.0
gwas_causal_gene_pharmaprojects,103,2,False,False,ADRA1A,1.0,0.0,1.0
gwas_causal_gene_pharmaprojects,151,1,True,False,UBP1,0.0,0.0,0.0
gwas_causal_gene_pharmaprojects,152,1,True,False,RET,1.0,1.0,1.0
gwas_causal_gene_pharmaprojects,229,3,False,False,CIB1,0.0,0.0,0.0
gwas_causal_gene_pharmaprojects,437,1,True,False,PDGFRA,0.0,0.0,0.0
gwas_causal_gene_pharmaprojects,639,1,True,False,DRD2,1.0,1.0,1.0
gwas_causal_gene_pharmaprojects,913,2,False,False,CD274,1.0,1.0,1.0
gwas_causal_gene_pharmaprojects,959,1,True,False,BTK,1.0,1.0,1.0
gwas_causal_gene_pharmaprojects,1045,2,False,False,FGFR3,1.0,1.0,1.0
gwas_causal_gene_pharmaprojects,1218,2,False,False,MS4A4A,0.0,0.0,1.0
gwas_causal_gene_pharmaprojects,1378,2,False,False,CD274,1.0,1.0,1.0
gwas_causal_gene_pharmaprojects,1453,1,True,False,PPARG,1.0,1.0,1.0
