task_name,task_instance_id,n_candidates,trivial,unresolved_tie,selected_answer,verifier_selected_reward,plurality_reward,oracle_reward
gwas_causal_gene_gwas_catalog,14,1,True,False,LPL,1.0,1.0,1.0
gwas_causal_gene_gwas_catalog,32,2,False,False,APOA1,0.0,0.0,0.0
gwas_causal_gene_gwas_catalog,47,1,True,False,MT1A,0.0,0.0,0.0
gwas_causal_gene_gwas_catalog,95,3,False,False,LPL,1.0,1.0,1.0
gwas_causal_gene_gwas_catalog,200,3,False,False,MANBA,0.0,0.0,1.0
gwas_causal_gene_gwas_catalog,240,1,True,False,NLRP3,0.0,0.0,0.0
gwas_causal_gene_gwas_catalog,242,2,False,False,CXCL8,0.0,0.0,0.0
gwas_causal_gene_gwas_catalog,391,2,False,False,BBOX1,0.0,1.0,1.0
gwas_causal_gene_gwas_catalog,392,2,False,False,CETP,1.0,0.0,1.0
gwas_causal_gene_gwas_catalog,460,3,False,False,HERPUD1,0.0,0.0,1.0
gwas_causal_gene_gwas_catalog,489,3,False,False,CATSPER1,0.0,0.0,0.0
gwas_causal_gene_gwas_catalog,535,2,False,False,POLG,0.0,0.0,0.0
gwas_causal_gene_gwas_catalog,543,1,True,False,LPL,1.0,1.0,1.0
gwas_causal_gene_gwas_catalog,559,1,True,False,GCKR,0.0,0.0,0.0
gwas_causal_gene_gwas_catalog,591,3,False,False,ZPR1,0.0,0.0,0.0
gwas_causal_gene_opentargets,35,1,True,False,ESR1,1.0,1.0,1.0
gwas_causal_gene_opentargets,85,1,True,False,HNF1A,1.0,1.0,1.0
gwas_causal_gene_opentargets,98,1,True,False,GLIS3,1.0,1.0,1.0
gwas_causal_gene_opentargets,159,2,False,False,DPP4,1.0,0.0,1.0
gwas_causal_gene_opentargets,242,4,False,False,ARHGEF35,0.0,0.0,0.0
gwas_causal_gene_opentargets,524,1,True,False,PRODH,1.0,1.0,1.0
gwas_causal_gene_opentargets,619,1,True,False,PPARG,1.0,1.0,1.0
gwas_causal_gene_opentargets,642,1,True,False,MC1R,1.0,1.0,1.0
gwas_causal_gene_opentargets,654,1,True,False,PCSK9,1.0,1.0,1.0
gwas_causal_gene_opentargets,720,2,False,False,IL5,1.0,0.0,1.0
gwas_causal_gene_opentargets,755,2,False,False,ALK,1.0,0.0,1.0
gwas_causal_gene_opentargets,760,1,True,False,CHEK2,1.0,1.0,1.0
gwas_causal_gene_opentargets,761,3,False,False,DDAH2,0.0,0.0,0.0
gwas_causal_gene_opentargets,767,1,True,False,HNF1A,1.0,1.0,1.0
gwas_causal_gene_opentargets,801,1,True,False,ESR1,1.0,1.0,1.0
gwas_causal_gene_pharmaprojects,37,2,False,False,C5,1.0,1.0,1.0
gwas_causal_gene_pharmaprojects,103,1,True,False,PTK2B,0.0,0.0,0.0
gwas_causal_gene_pharmaprojects,151,1,True,False,CCR4,1.0,1.0,1.0
gwas_causal_gene_pharmaprojects,152,2,False,False,RET,1.0,1.0,1.0
gwas_causal_gene_pharmaprojects,229,4,False,False,NONE,0.0,1.0,1.0
gwas_causal_gene_pharmaprojects,437,1,True,False,PDGFRA,0.0,0.0,0.0
gwas_causal_gene_pharmaprojects,639,1,True,False,DRD2,1.0,1.0,1.0
gwas_causal_gene_pharmaprojects,913,3,False,False,PDCD1LG2,0.0,0.0,1.0
gwas_causal_gene_pharmaprojects,959,1,True,False,BTK,1.0,1.0,1.0
gwas_causal_gene_pharmaprojects,1045,1,True,False,FGFR3,1.0,1.0,1.0
gwas_causal_gene_pharmaprojects,1218,2,False,False,NONE,0.0,1.0,1.0
gwas_causal_gene_pharmaprojects,1378,2,False,False,JAK2,0.0,1.0,1.0
gwas_causal_gene_pharmaprojects,1453,1,True,False,PPARG,1.0,1.0,1.0
gwas_causal_gene_pharmaprojects,1538,2,False,False,KCNJ11,1.0,1.0,1.0
gwas_causal_gene_pharmaprojects,1662,1,True,False,SCN2A,0.0,0.0,0.0
gwas_variant_prioritization,14,2,False,False,rs10087900,1.0,0.0,1.0
gwas_variant_prioritization,21,4,False,False,rs4949874,1.0,0.0,1.0
gwas_variant_prioritization,52,1,True,False,rs499974,0.0,0.0,0.0
gwas_variant_prioritization,54,2,False,False,rs1800961,0.0,0.0,0.0
gwas_variant_prioritization,74,2,False,False,rs9844948,0.0,0.0,0.0
gwas_variant_prioritization,88,2,False,False,rs4921914,0.0,0.0,0.0
gwas_variant_prioritization,99,1,True,False,rs507080,0.0,0.0,0.0
gwas_variant_prioritization,116,1,True,False,rs113612868,0.0,0.0,0.0
gwas_variant_prioritization,129,1,True,False,rs12141041,0.0,0.0,0.0
gwas_variant_prioritization,151,2,False,False,rs10741657,0.0,0.0,0.0
gwas_variant_prioritization,157,0,False,False,,0.0,0.0,0.0
gwas_variant_prioritization,160,2,False,False,rs2954022,0.0,0.0,0.0
gwas_variant_prioritization,169,2,False,False,rs662138,0.0,0.0,0.0
gwas_variant_prioritization,188,3,False,False,rs6073958,1.0,1.0,1.0
gwas_variant_prioritization,202,1,True,False,rs6073958,0.0,0.0,0.0
lab_bench_dbqa,1,3,False,False,E,0.0,0.0,1.0
lab_bench_dbqa,49,2,False,False,E,0.0,0.0,0.0
lab_bench_dbqa,52,4,False,False,A,0.0,0.0,1.0
lab_bench_dbqa,161,2,False,False,D,0.0,1.0,1.0
lab_bench_dbqa,166,2,False,False,B,0.0,1.0,1.0
lab_bench_dbqa,205,3,False,False,D,0.0,0.0,0.0
lab_bench_dbqa,251,1,True,False,D,0.0,0.0,0.0
lab_bench_dbqa,259,1,True,False,D,0.0,0.0,0.0
lab_bench_dbqa,295,2,False,False,E,0.0,1.0,1.0
lab_bench_dbqa,339,3,False,False,B,0.0,1.0,1.0
lab_bench_dbqa,366,2,False,False,E,0.0,0.0,1.0
lab_bench_dbqa,387,2,False,False,E,0.0,0.0,0.0
lab_bench_dbqa,427,2,False,False,B,0.0,0.0,0.0
lab_bench_dbqa,477,3,False,False,E,0.0,1.0,1.0
lab_bench_dbqa,495,4,False,False,D,1.0,0.0,1.0
lab_bench_seqqa,32,2,False,False,B,0.0,0.0,0.0
lab_bench_seqqa,61,3,False,False,C,1.0,1.0,1.0
lab_bench_seqqa,62,2,False,False,C,1.0,1.0,1.0
lab_bench_seqqa,64,2,False,False,C,1.0,1.0,1.0
lab_bench_seqqa,98,2,False,False,A,0.0,0.0,0.0
lab_bench_seqqa,156,2,False,False,A,0.0,0.0,1.0
lab_bench_seqqa,200,1,True,False,C,1.0,1.0,1.0
lab_bench_seqqa,213,2,False,False,E,0.0,1.0,1.0
lab_bench_seqqa,215,2,False,False,C,1.0,1.0,1.0
lab_bench_seqqa,260,2,False,False,C,0.0,1.0,1.0
lab_bench_seqqa,267,3,False,False,B,0.0,0.0,1.0
lab_bench_seqqa,327,3,False,False,B,0.0,0.0,0.0
lab_bench_seqqa,471,2,False,False,E,1.0,1.0,1.0
lab_bench_seqqa,505,2,False,False,C,1.0,1.0,1.0
lab_bench_seqqa,583,3,False,False,B,1.0,1.0,1.0
patient_gene_detection,53,1,True,False,"{""causal_gene"":[""ENSG00000172062"",""ENSG00000042317""]}",0.0,0.0,0.0
patient_gene_detection,91,0,False,False,,0.0,0.0,0.0
patient_gene_detection,166,0,False,False,,0.0,0.0,0.0
patient_gene_detection,201,2,False,False,"{""causal_gene"":[""ENSG00000185379""]}",0.0,0.0,0.0
patient_gene_detection,263,0,False,False,,0.0,0.0,0.0
patient_gene_detection,295,1,True,False,"{""causal_gene"":[""ENSG00000168291""]}",1.0,1.0,1.0
patient_gene_detection,303,0,False,False,,0.0,0.0,0.0
patient_gene_detection,309,1,True,False,"{""causal_gene"":[""ENSG00000127249""]}",0.0,0.0,0.0
patient_gene_detection,328,1,True,False,"{""causal_gene"":[""NONE""]}",0.0,0.0,0.0
patient_gene_detection,345,2,False,False,"{""causal_gene"":[""ENSG00000095397""]}",0.0,0.0,0.0
patient_gene_detection,389,0,False,False,,0.0,0.0,0.0
patient_gene_detection,457,0,False,False,,0.0,0.0,0.0
patient_gene_detection,480,1,True,False,"{""causal_gene"":[""ENSG00000101384""]}",1.0,0.0,1.0
patient_gene_detection,486,0,False,False,,0.0,0.0,0.0
patient_gene_detection,492,0,False,False,,0.0,0.0,0.0
screen_gene_retrieval,21,3,False,False,LDB1,0.0,0.0,1.0
screen_gene_retrieval,58,3,False,False,GPAT4,0.0,0.0,0.0
screen_gene_retrieval,105,3,False,False,NF2,1.0,1.0,1.0
screen_gene_retrieval,174,2,False,False,PPAT,0.0,0.0,0.0
screen_gene_retrieval,187,1,True,False,ACE2,1.0,1.0,1.0
screen_gene_retrieval,190,1,True,False,KEAP1,1.0,1.0,1.0
screen_gene_retrieval,201,2,False,False,GABARAP,1.0,1.0,1.0
screen_gene_retrieval,207,2,False,False,FAM83H,1.0,0.0,1.0
screen_gene_retrieval,235,1,True,False,VMP1,1.0,1.0,1.0
screen_gene_retrieval,241,2,False,False,PAPSS2,0.0,0.0,0.0
screen_gene_retrieval,263,1,True,False,FGFR1,0.0,0.0,0.0
screen_gene_retrieval,264,1,True,False,ARF1,1.0,1.0,1.0
screen_gene_retrieval,269,2,False,False,CHD8,0.0,0.0,0.0
screen_gene_retrieval,313,1,True,False,ACE2,1.0,1.0,1.0
screen_gene_retrieval,342,2,False,False,DNMT3B,0.0,0.0,0.0
