pool,task_name,task_instance_id,n_candidates,picks,majority_answer,majority_status,n_unresolved,reward,plurality_reward,oracle_reward
phase2b,crispr_delivery,18,2,"['f', None, None]",,no_majority,2,0.0,0.0,0.0
phase2b,gwas_causal_gene_gwas_catalog,64,2,"['ANGPTL4', 'ANGPTL4', 'ANGPTL4']",ANGPTL4,majority,0,0.0,0.0,0.0
phase2b,gwas_causal_gene_gwas_catalog,128,3,"['APOA1', 'APOA1', 'ZPR1']",APOA1,majority,0,0.0,0.0,0.0
phase2b,gwas_causal_gene_gwas_catalog,138,2,"['SLCO1B1', 'SLCO1B1', 'SLCO1B1']",SLCO1B1,majority,0,1.0,1.0,1.0
phase2b,gwas_causal_gene_gwas_catalog,170,2,"['PRKAG1', 'PRKAG1', 'PRKAG1']",PRKAG1,majority,0,1.0,1.0,1.0
phase2b,gwas_causal_gene_gwas_catalog,379,3,"['PMFBP1', 'HP', 'HP']",HP,majority,0,0.0,0.0,0.0
phase2b,gwas_causal_gene_gwas_catalog,418,2,"['C4A', 'C4A', 'C4A']",C4A,majority,0,0.0,0.0,0.0
phase2b,gwas_causal_gene_gwas_catalog,492,2,"['NDUFA11', 'NDUFA11', None]",NDUFA11,majority,1,0.0,0.0,0.0
phase2b,gwas_causal_gene_opentargets,47,2,"['IL13', 'IL4', 'IL4']",IL4,majority,0,0.0,0.0,0.0
phase2b,gwas_causal_gene_opentargets,397,2,"['RREB1', 'RREB1', 'RREB1']",RREB1,majority,0,1.0,1.0,1.0
phase2b,gwas_causal_gene_opentargets,612,2,"['PAM', None, 'PAM']",PAM,majority,1,1.0,1.0,1.0
phase2b,gwas_causal_gene_opentargets,690,2,"['PAOX', 'PAOX', 'CYP2E1']",PAOX,majority,0,1.0,0.0,1.0
phase2b,gwas_causal_gene_pharmaprojects,509,2,"['VEGFA', 'GNMT', 'GNMT']",GNMT,majority,0,0.0,1.0,1.0
phase2b,gwas_causal_gene_pharmaprojects,1300,2,"['HTR3A', 'DRD2', 'HTR3A']",HTR3A,majority,0,0.0,0.0,1.0
phase2b,gwas_causal_gene_pharmaprojects,1463,2,"['CCR7', 'CCR7', 'CCR7']",CCR7,majority,0,0.0,0.0,0.0
phase2b,gwas_causal_gene_pharmaprojects,1640,2,"['IL4R', 'IL4R', 'IL4R']",IL4R,majority,0,1.0,0.0,1.0
phase2b,gwas_causal_gene_pharmaprojects,1645,3,"['DDR1', 'POU5F1', 'DDR1']",DDR1,majority,0,0.0,0.0,0.0
phase2b,gwas_variant_prioritization,37,2,"['rs1074145', 'rs2270968', None]",,no_majority,1,0.0,1.0,1.0
phase2b,gwas_variant_prioritization,87,2,"[None, 'rs662138', 'rs662138']",rs662138,majority,1,0.0,0.0,0.0
phase2b,gwas_variant_prioritization,102,2,"['rs4680', 'rs2160387', 'rs2160387']",rs2160387,majority,0,0.0,0.0,0.0
phase2b,gwas_variant_prioritization,121,2,"['rs10455872', 'rs16942887', None]",,no_majority,1,0.0,1.0,1.0
phase2b,gwas_variant_prioritization,130,2,"['rs17145738', None, 'rs17145738']",rs17145738,majority,1,0.0,0.0,0.0
phase2b,lab_bench_dbqa,80,2,"[None, None, None]",,all_missing,3,0.0,1.0,1.0
phase2b,lab_bench_dbqa,269,2,"['A', None, None]",,no_majority,2,0.0,1.0,1.0
phase2b,lab_bench_dbqa,315,2,"[None, None, None]",,all_missing,3,0.0,1.0,1.0
phase2b,lab_bench_dbqa,345,2,"[None, None, None]",,all_missing,3,0.0,1.0,1.0
phase2b,lab_bench_dbqa,350,2,"[None, None, None]",,all_missing,3,0.0,0.0,1.0
