pool,task_name,task_instance_id,n_candidates,n_complete,picks,majority_answer,majority_status,n_off_menu,reward,peak_input_tokens_max,any_runaway,any_hard_budget_hit,plurality_reward,oracle_reward
phase2b,crispr_delivery,18,2,3,"['c', 'f', 'e']",,no_majority,1,0.0,17805,True,False,0.0,0.0
phase1_pooled,crispr_delivery,28,2,3,"['e', 'f', 'e']",e,majority,0,1.0,22275,True,False,1.0,1.0
phase1_pooled,gwas_causal_gene_gwas_catalog,27,3,3,"['SLC39A8', 'PPP3CA', 'SLC39A8']",SLC39A8,majority,0,1.0,25383,True,False,1.0,1.0
phase2b,gwas_causal_gene_gwas_catalog,64,2,3,"['ANGPTL4', 'ANGPTL4', 'ANGPTL4']",ANGPTL4,majority,0,0.0,20578,True,False,0.0,0.0
phase2b,gwas_causal_gene_gwas_catalog,128,3,2,"['ZPR1', 'ZPR1', None]",ZPR1,majority,0,0.0,36443,True,False,0.0,0.0
phase2b,gwas_causal_gene_gwas_catalog,138,2,3,"['SLCO1A2', 'SLCO1B1', 'SLCO1A2']",SLCO1A2,majority,0,0.0,22096,True,False,1.0,1.0
phase2b,gwas_causal_gene_gwas_catalog,170,2,3,"['PRKAG1', 'PRKAG1', 'PRKAG1']",PRKAG1,majority,0,1.0,13150,True,False,1.0,1.0
phase2b,gwas_causal_gene_gwas_catalog,379,3,3,"[nan, 'DHODH', 'HP']",,no_majority,2,0.0,26875,True,False,0.0,0.0
phase1_pooled,gwas_causal_gene_gwas_catalog,406,3,3,"['SIK3', 'SIK3', 'PAFAH1B2']",SIK3,majority,0,0.0,30773,True,False,0.0,0.0
phase2b,gwas_causal_gene_gwas_catalog,418,2,2,"['C4A', 'C4A', None]",C4A,majority,0,0.0,38535,True,False,0.0,0.0
phase2b,gwas_causal_gene_gwas_catalog,492,2,3,"['LONP1', 'NDUFA11', 'NDUFA11']",NDUFA11,majority,1,0.0,18304,True,False,0.0,0.0
phase1_pooled,gwas_causal_gene_gwas_catalog,520,2,3,"['RCVRN', 'GAS7', 'GAS7']",GAS7,majority,1,0.0,13414,True,False,0.0,0.0
