pool,task_name,task_instance_id,n_candidates,margin,selected_answer,unresolved_tie,selector_reward,oracle_over_candidates,plurality_reward_descriptive,reachable
phase2b,crispr_delivery,18,2,0.00016283601851374563,f,False,0.0,0.0,0.0,False
phase2b,gwas_causal_gene_gwas_catalog,64,2,0.008651322671120842,ANGPTL4,False,0.0,0.0,0.0,False
phase2b,gwas_causal_gene_gwas_catalog,128,3,0.0010647840323300128,BUD13,False,0.0,0.0,0.0,False
phase2b,gwas_causal_gene_gwas_catalog,138,2,0.023437106168235355,SLCO1A2,False,0.0,1.0,0.0,True
phase2b,gwas_causal_gene_gwas_catalog,170,2,0.00319972213040276,DHH,False,0.0,1.0,0.0,True
phase2b,gwas_causal_gene_gwas_catalog,379,3,0.0017721490042504895,HP,False,0.0,0.0,0.0,False
phase2b,gwas_causal_gene_gwas_catalog,418,2,0.001996076063755403,C4B,False,0.0,0.0,0.0,False
phase2b,gwas_causal_gene_gwas_catalog,492,2,0.012938422288476636,NDUFA11,False,0.0,0.0,0.0,False
phase2b,gwas_causal_gene_opentargets,47,2,0.002141115353405443,IL4,False,0.0,0.0,0.0,False
phase2b,gwas_causal_gene_opentargets,397,2,0.00250394188416736,RREB1,False,1.0,1.0,0.0,True
phase2b,gwas_causal_gene_opentargets,612,2,0.005164690996043608,SLCO6A1,False,0.0,1.0,1.0,True
phase2b,gwas_causal_gene_opentargets,690,2,0.0003759747218368137,PAOX,False,1.0,1.0,0.0,True
phase2b,gwas_causal_gene_pharmaprojects,509,2,0.010170824271396928,GNMT,False,0.0,1.0,0.0,True
phase2b,gwas_causal_gene_pharmaprojects,1300,2,0.003003054871074884,HTR3A,False,0.0,1.0,1.0,True
phase2b,gwas_causal_gene_pharmaprojects,1463,2,0.004530440674908931,KRT20,False,0.0,0.0,0.0,False
phase2b,gwas_causal_gene_pharmaprojects,1640,2,0.0006969451920256775,IL4R,False,1.0,1.0,0.0,True
phase2b,gwas_causal_gene_pharmaprojects,1645,3,0.0015920505219196857,POU5F1,False,0.0,0.0,0.0,False
phase2b,gwas_variant_prioritization,37,2,0.010380496248998394,rs2270968,False,1.0,1.0,0.0,True
phase2b,gwas_variant_prioritization,87,2,0.0055441053835727505,rs662138,False,0.0,0.0,0.0,False
phase2b,gwas_variant_prioritization,102,2,0.007971944122123764,rs2160387,False,0.0,0.0,0.0,False
phase2b,gwas_variant_prioritization,121,2,0.0015769322828471655,rs10455872,False,1.0,1.0,1.0,True
phase2b,gwas_variant_prioritization,130,2,0.0025556498860237475,rs17145738,False,0.0,0.0,0.0,False
phase2b,lab_bench_dbqa,80,2,0.0020138715854178812,A,False,0.0,1.0,0.0,True
phase2b,lab_bench_dbqa,269,2,0.009059058467967007,B,False,1.0,1.0,0.0,True
phase2b,lab_bench_dbqa,315,2,0.004145512906358062,A,False,1.0,1.0,1.0,True
phase2b,lab_bench_dbqa,345,2,0.003130189555219931,D,False,1.0,1.0,0.0,True
phase2b,lab_bench_dbqa,350,2,0.0004725934810272392,B,False,1.0,1.0,0.0,True
phase2b,lab_bench_dbqa,430,2,7.602131377687504e-05,E,False,1.0,1.0,0.0,True
phase2b,lab_bench_seqqa,27,3,0.004052711291100242,C,False,0.0,1.0,1.0,True
phase2b,patient_gene_detection,34,3,0.001895274699013516,"{""causal_gene"":[""ENSG00000155657""]}",False,0.0,1.0,1.0,True
phase2b,patient_gene_detection,49,2,0.002096902284380864,"{""causal_gene"":[""ENSG00000171302""]}",False,1.0,1.0,0.0,True
phase2b,patient_gene_detection,88,3,0.0006416707839359548,"{""causal_gene"":[""ENSG00000101115""]}",False,0.0,0.0,0.0,False
phase2b,patient_gene_detection,205,2,0.007249176455457251,"{""causal_gene"":[""ENSG00000139219"",""ENSG00000178209"",""ENSG00000122735"",""ENSG00000113262"",""ENSG00000116679""]}",False,1.0,1.0,1.0,True
phase2b,patient_gene_detection,251,3,0.0017932201527737779,"{""causal_gene"":[""ENSG00000179142""]}",False,1.0,1.0,0.0,True
phase2b,patient_gene_detection,259,4,0.002623675793245961,"{""causal_gene"":[""ENSG00000155974"",""ENSG00000159140"",""ENSG00000138759""]}",False,0.0,0.0,0.0,False
phase2b,patient_gene_detection,264,2,0.004209994216505419,"{""causal_gene"":[""ENSG00000102081""]}",False,1.0,1.0,1.0,True
phase2b,patient_gene_detection,306,2,0.0008541884427220037,"{""causal_gene"":[""ENSG00000129757""]}",False,0.0,0.0,0.0,False
phase2b,patient_gene_detection,319,3,0.0022193806282554407,"{""causal_gene"":[""ENSG00000102580""]}",False,1.0,1.0,1.0,True
phase2b,patient_gene_detection,339,3,0.00037652879955929475,"{""causal_gene"":[""ENSG00000197563""]}",False,0.0,1.0,1.0,True
phase2b,patient_gene_detection,401,4,0.0013560303582434985,"{""causal_gene"":[""ENSG00000164692""]}",False,0.0,1.0,0.0,True
phase2b,patient_gene_detection,419,2,7.961543927836878e-05,"{""causal_gene"":[""ENSG00000104164""]}",False,0.0,1.0,1.0,True
phase2b,patient_gene_detection,482,2,0.009113356306878762,"{""causal_gene"":[""ENSG00000125779""]}",False,1.0,1.0,1.0,True
phase2b,rare_disease_diagnosis,1,2,0.0012207467893046164,"{""disease_name"":""Congenital contractures of the limbs and face, hypotonia, and developmental delay"",""OMIM_ID"":""616266""}",False,1.0,1.0,1.0,True
phase2b,rare_disease_diagnosis,20,2,0.004175276548028739,"{""disease_name"":""Freeman-Sheldon syndrome"",""OMIM_ID"":""193700""}",False,1.0,1.0,0.0,True
phase2b,rare_disease_diagnosis,88,2,0.0036390545816892272,"{""disease_name"":""Arthrogryposis, distal, with impaired proprioception and touch"",""OMIM_ID"":""617146""}",False,0.0,0.0,0.0,False
